requested_instrument,min_funding_rate,max_funding_rate,avg_funding_rate,exchange_count,avg_price,total_volume_24h,total_open_interest,exchanges,funding_spread_pct
KAITO,-12.628,2.02,-0.5235260869565218,20,0.46118173913043475,40358646.0692183,34982317.412647,"['ApeX Omni', 'BingX', 'BingX', 'WhiteBIT', 'Binance', 'OKX', 'KuCoin', 'LBank', 'Bybit', 'Binance', 'Bitget', 'Gate', 'MEXC', 'Bitunix', 'Hyperliquid', 'CoinEx', 'MEXC', 'Extended', 'Kraken', 'Aster', 'Paradex', 'HTX', 'Lighter']",14.648
BNB,-8.6896,4.7217,0.47092727272727275,23,727.9079285714286,5486528731.3677,1487892186.6741693,"['Binance', 'Binance', 'OKX', 'LBank', 'Bybit', 'Gate', 'Aster', 'Bitunix', 'Binance', 'Bitget', 'WhiteBIT', 'MEXC', 'BingX', 'Hyperliquid', 'EdgeX', 'ApeX Omni', 'BingX', 'CoinEx', 'Bitunix', 'KuCoin', 'Bitunix', 'Extended', 'BingX', 'HTX', 'Kraken', 'Bybit', 'Coinbase', 'Binance', 'Bitmex', 'Binance', 'MEXC', 'Bitmex', 'Paradex', 'CoinEx', 'Lighter']",13.4113
TIA,-8.5907,3.8117,-0.27245384615384616,22,0.39994653846153844,86679406.7986692,58820963.926069,"['Binance', 'ApeX Omni', 'MEXC', 'Bybit', 'BingX', 'WhiteBIT', 'OKX', 'Bitget', 'BingX', 'LBank', 'Binance', 'Bitunix', 'KuCoin', 'Hyperliquid', 'Gate', 'CoinEx', 'MEXC', 'Kraken', 'Extended', 'HTX', 'Crypto.com', 'Coinbase', 'Bybit', 'Lighter', 'Aster', 'Paradex']",12.4024
JUP,-10.5288,1.0,-0.6148130434782609,23,0.1841368260869565,53196404.542745,43028257.327006,"['ApeX Omni', 'LBank', 'BingX', 'WhiteBIT', 'Binance', 'Bybit', 'MEXC', 'OKX', 'Hyperliquid', 'Bitget', 'KuCoin', 'Extended', 'Bitunix', 'Gate', 'CoinEx', 'Coinbase', 'HTX', 'Kraken', 'Aster', 'Crypto.com', 'Paradex', 'Bitmex', 'Lighter']",11.5288
BCH,-8.92,2.4166,-0.9364216216216216,24,302.0219189189189,225662973.8283591,451491557.6547387,"['Binance', 'OKX', 'WhiteBIT', 'LBank', 'ApeX Omni', 'Bybit', 'Bitmex', 'BingX', 'MEXC', 'Bitget', 'BingX', 'Binance', 'Gate', 'KuCoin', 'Bitunix', 'Binance', 'Hyperliquid', 'BingX', 'Bitmex', 'EdgeX', 'Coinbase', 'OKX', 'CoinEx', 'Kraken', 'Lighter', 'Bitget', 'Bitunix', 'MEXC', 'HTX', 'Bybit', 'Bitunix', 'Aster', 'CoinEx', 'Bybit', 'Extended', 'Crypto.com', 'Paradex']",11.3366
XPL,-0.5,10.0727,0.843595652173913,22,0.09125486956521739,84831848.120229,117871617.639519,"['Binance', 'OKX', 'Bybit', 'BingX', 'Bitget', 'WhiteBIT', 'Hyperliquid', 'Gate', 'Extended', 'Bitunix', 'LBank', 'MEXC', 'CoinEx', 'KuCoin', 'Coinbase', 'ApeX Omni', 'Aster', 'Bybit', 'Kraken', 'HTX', 'Lighter', 'Crypto.com', 'Paradex']",10.5727
OP,-4.7786,5.73,0.6521571428571429,24,0.11910660714285715,65221588.357827,57871921.460711926,"['Binance', 'LBank', 'WhiteBIT', 'Bybit', 'ApeX Omni', 'OKX', 'BingX', 'BingX', 'MEXC', 'Bitget', 'KuCoin', 'Bitunix', 'CoinEx', 'Hyperliquid', 'Gate', 'MEXC', 'Coinbase', 'Lighter', 'Kraken', 'Bybit', 'Extended', 'HTX', 'Bybit', 'Aster', 'dYdX', 'Crypto.com', 'Bitmex', 'Paradex']",10.5086
ETH,-4.05,6.3351,0.3999040816326531,27,2024.6634310505494,21574223989.09337,28482978232.371235,"['WhiteBIT', 'Binance', 'OKX', 'Coinbase', 'Gate', 'MEXC', 'Binance', 'Bybit', 'Bitget', 'Bitunix', 'Hyperliquid', 'BingX', 'HTX', 'Aster', 'CoinEx', 'Binance', 'EdgeX', 'Bitmex', 'Crypto.com', 'LBank', 'OKX', 'KuCoin', 'ApeX Omni', 'Deribit', 'BingX', 'Kraken', 'Extended', 'Crypto.com', 'Crypto.com', 'MEXC', 'Bybit', 'BingX', 'Bitunix', 'Bitunix', 'Bybit', 'MEXC', 'Bitfinex', 'dYdX', 'Binance', 'Binance', 'Bitmex', 'Bitget', 'Binance', 'OKX', 'Binance', 'Deribit', 'Deribit', 'Deribit', 'Deribit', 'Deribit', 'Binance', 'Bitget', 'Bitget', 'Deribit', 'Paradex', 'Deribit', 'CoinEx', 'Deribit', 'OKX', 'HTX', 'OKX', 'Deribit', 'Bitmex', 'CoinEx', 'Deribit', 'OKX', 'Deribit', 'Kraken', 'KuCoin', 'Bybit', 'Bybit', 'Bybit', 'Bybit', 'Bybit', 'Bybit', 'Bybit', 'Lighter', 'OKX', 'HTX', 'HTX', 'OKX', 'KuCoin', 'Kraken', 'OKX', 'HTX', 'Kraken', 'Bybit', 'Bybit', 'Bybit', 'Kraken', 'Bitmex']",10.3851
WIF,-4.6456,5.01,0.31981481481481483,23,0.18951396428571426,72587413.813683,76589068.725445,"['ApeX Omni', 'LBank', 'Binance', 'WhiteBIT', 'Bybit', 'BingX', 'OKX', 'MEXC', 'BingX', 'KuCoin', 'Hyperliquid', 'Bitget', 'Bitunix', 'Gate', 'Coinbase', 'Binance', 'CoinEx', 'MEXC', 'Extended', 'Kraken', 'HTX', 'Bitunix', 'Bybit', 'Bitmex', 'Crypto.com', 'Aster', 'Paradex', 'Lighter']",9.6556
HYPE,-3.1588,5.8799,0.13924074074074075,24,68.18625925925926,4665593910.233114,3267013306.894039,"['Binance', 'Hyperliquid', 'OKX', 'Bybit', 'MEXC', 'Bitget', 'Bitunix', 'BingX', 'WhiteBIT', 'Gate', 'Extended', 'Aster', 'LBank', 'BingX', 'KuCoin', 'EdgeX', 'CoinEx', 'Kraken', 'Coinbase', 'ApeX Omni', 'HTX', 'MEXC', 'Bitmex', 'Paradex', 'Bybit', 'dYdX', 'Crypto.com']",9.0387
