instrument,exchange,symbol,price,index_price,price_change_24h_pct,volume_24h_usd,volume_usd_change_percent_24h,long_volume_usd,short_volume_usd,long_volume_quantity,short_volume_quantity,open_interest_quantity,open_interest_usd,open_interest_change_percent_24h,funding_rate,next_funding_timestamp,open_interest_volume_radio,oi_vol_ratio_change_percent_24h,requested_instrument,long_liquidation_usd,short_liquidation_usd,funding_rate_pct,fetch_timestamp
ADAUSDT,Aster,ADA/USDT,0.2367,0.23682563,0.34,74957.3611,-44.7,44012.3252,30945.0459,161,100,3122943.0,739200.6081,0.82,0.01,1780243200000.0,9.8616,82.31,ADA,0.0,87.06,1.0,2026-05-31 22:11:46.810970
ADAUSDT,Bitmex,ADA/USDT,0.2363,0.23675,0.21,61800.469,-97.08,36307.002,25493.467,90,129,3016840.0,714297.2068,0.37,0.01,1780286400000.0,11.5581,3335.82,ADA,,,1.0,2026-05-31 22:11:46.810970
ADA-USD,HTX,ADA/USD,0.239069,0.23652352245066402,-0.25,46940.0,415.63,21920.0,25020.0,423,384,1541479.656500843,368520.0,-0.89,0.01,,7.8509,-80.78,ADA,0.0,2870.0,1.0,2026-05-31 22:11:46.810970
ADA-USDC,Lighter,ADA/USDC,0.23629,0.23646,1.23,12967.2,-98.92,6461.35,6505.85,42,34,7883359.6,1863074.374268,1.08,0.0012,,143.6759,9247.21,ADA,,,0.12,2026-05-31 22:11:46.810970
ADA-USD-PERP,Paradex,ADA/USD,0.2376,0.23661131,1.41,2395.99,-14.38,1035.88,1360.11,3,4,85600.0,20338.56,4.77,0.010000024287,,8.4886,22.36,ADA,,,1.0,2026-05-31 22:11:46.810970
ADAM26,Bitmex,ADA/BTC,0.24379905,0.236858838,3.13,2.4360798e-06,-100.0,0.0,2.4360798e-06,0,1,1964.91,478.45485276,1.25,,,196403604.1676,97713135.9,ADA,,,,2026-05-31 22:11:46.810970
TIAUSDT,Binance,TIA/USDT,0.3995,0.40026286,-3.83,19347974.3431,-39.01,8703486.7584,10644487.5947,103556,120856,31811867.0,12718384.4266,4.37,-0.010014,1780243200000.0,0.6573,71.13,TIA,1465.52,62394.04,-1.0014,2026-05-31 22:11:46.810970
TIAUSDT,ApeX Omni,TIA/USDT,0.3993,0.4001,-3.9,17894863.0596,88.77,8915312.7496,8979550.31,40928,41342,83565.8,33367.82394,206.19,0.00125,,0.0019,72.73,TIA,,,0.125,2026-05-31 22:11:46.810970
TIA_USDT,MEXC,TIA/USDT,0.3995,0.4002,-3.85,6756484.7688,27.21,3233012.1105,3523472.6583,6145,6633,11343120.0,4533845.064,8.02,-0.01,1780243200000.0,0.671,-15.08,TIA,,,-1.0,2026-05-31 22:11:46.810970
TIAUSDT,Bybit,TIA/USDT,0.3996,0.4004,-3.83,6500353.14592,-55.11,3039949.6224,3460403.52362,37870,37875,21532420.8,8615121.56,0.38,0.005,1780243200000.0,1.3253,123.64,TIA,2767.32,11832.69,0.5,2026-05-31 22:11:46.810970
TIA-USDC,BingX,TIA/USDC,0.3996,0.4001,-3.78,6495748.2687052,-0.26,3248048.5024721,3247699.6461331,432359,432562,3406148.2621,1362118.69,-2.24,0.0055,1780243200000.0,0.2097,-1.96,TIA,,,0.55,2026-05-31 22:11:46.810970
TIA_PERP,WhiteBIT,TIA/USDT,0.4004,0.4004,-3.8,5997183.0927,-32.11,4679749.5061,1317433.5866,72824,22555,7254441.0,2906129.0646,5.06,0.005,1780243200000.0,0.4846,54.77,TIA,,,0.5,2026-05-31 22:11:46.810970
TIA-USDT-SWAP,OKX,TIA/USDT,0.3996,0.4002,-3.8,5784674.7944,-37.25,2590387.7038,3194287.0906,11915,12900,7102130.0,2838011.148,7.22,-0.0032112918235,1780243200000.0,0.4906,70.88,TIA,7083.71,9166.97,-0.3211,2026-05-31 22:11:46.810970
TIAUSDT_UMCBL,Bitget,TIA/USDT,0.3993,0.4002762880506618,-3.88,4831756.7526,-12.5,2465639.6833,2366117.0697,7142,7161,9425241.2,3764441.33528,8.14,0.0002,1780243200000.0,0.7791,23.59,TIA,0.0,9518.47,0.02,2026-05-31 22:11:46.810970
TIA-USDT,BingX,TIA/USDT,0.3996,0.4001,-3.8,4649335.8818,-13.63,1449473.7557,3199862.146,130316,130675,9920538.5693,3966231.32,-13.43,0.005,1780243200000.0,0.8531,0.25,TIA,,,0.5,2026-05-31 22:11:46.810970
TIAUSDT,LBank,TIA/USDT,0.3996,,-3.78,2436276.7946,-19.86,1240312.04442,1195964.77028,31627,31520,10680854.2,4270205.50916,-2.01,-0.0084,1780243200000.0,1.7528,22.28,TIA,,,-0.84,2026-05-31 22:11:46.810970
TIAUSDC,Binance,TIA/USDC,0.3989,0.3997302,-3.79,1390057.8987,-47.09,656682.1171,733375.7716,14006,11243,3420016.0,1365612.3888,-2.08,-0.003484,1780243200000.0,0.9824,85.08,TIA,0.0,745.48,-0.3484,2026-05-31 22:11:46.810970
TIAUSDT,Bitunix,TIA/USDT,0.3997,0.3997,-3.78,1343308.4895,-30.86,610647.7161,732660.7734,6967,9644,1788409.0,714111.7137,2.0,0.004999,1780243200000.0,0.5316,47.54,TIA,,,0.4999,2026-05-31 22:11:46.810970
TIAUSDTM,KuCoin,TIA/USDT,0.4002,0.4002,-3.71,972479.4984,-64.81,466401.8972,506077.5912,6142,5826,13067919.0,5232394.7676,5.06,-0.0051,1780243185419.0,5.3805,198.54,TIA,,,-0.51,2026-05-31 22:11:46.810970
TIA-USD,Hyperliquid,TIA/USD,0.3999,0.4004,-3.84,704663.602884,-19.8,317680.97894,386982.633944,1845,1981,8591600.4,3436382.4119880004,-0.93,0.00125,1780239600000.0,4.8766,23.52,TIA,,,0.125,2026-05-31 22:11:46.810970
TIA_USDT,Gate,TIA/USDT,0.3999,0.4001,-3.71,681077.5793,-57.77,328468.1771,352609.4022,3020,2744,2940660.0,1175969.934,0.51,0.005,1780243200000.0,1.7266,138.02,TIA,0.0,124.98,0.5,2026-05-31 22:11:46.810970
TIAUSDT,CoinEx,TIA/USDT,0.4003,0.4002,-3.68,358998.2603,22.02,275215.30588,83782.96422,6936,2612,1141877.5,457207.751,-8.39,0.038117,1780243176577.0,1.2736,-24.92,TIA,,,3.8117,2026-05-31 22:11:46.810970
TIA_USDC,MEXC,TIA/USDC,0.3988,0.3997,-3.83,219691.263,-3.14,107080.3113,112610.9517,4118,4014,225712.0,90104.2304,-16.2,-0.0032,1780243200000.0,0.4101,-13.48,TIA,,,-0.32,2026-05-31 22:11:46.810970
PF_TIAUSD,Kraken,TIA/USDT,0.3985,0.39975,-4.09,162449.8933,-84.88,79796.78,82653.1133,150,337,1077414.8,429349.7978,7.53,-0.0013791075,1780239600000.0,2.643,611.25,TIA,,,-0.1379,2026-05-31 22:11:46.810970
TIA-USD,Extended,TIA/USD,0.3994,0.399659682187,-3.99,51735.26,-40.53,18951.41,32783.85,16,36,370530.0,147965.649887,-9.85,-0.0008,,2.8601,51.59,TIA,70.78,0.0,-0.08,2026-05-31 22:11:46.810970
TIA-USDT,HTX,TIA/USDT,0.4016,0.40028,-3.83,26661.09376,33.56,7191.32086,19469.7927,693,2272,186391.4,74854.78624,-0.84,0.005,1780243200000.0,2.8076,-25.76,TIA,,,0.5,2026-05-31 22:11:46.810970
TIAUSD-PERP,Crypto.com,TIA/USD,0.40023,0.39978,-3.6,23008.6397,-18.7,8479.7297,14528.9,957,405,210379.4,84200.147262,7.19,-0.024709,1780239600000.0,3.6595,31.84,TIA,,,-2.4709,2026-05-31 22:11:46.810970
TIA-PERP,Coinbase,TIA/USDC,0.398,0.3997,-4.17,19749.1876,-92.03,10007.66,9741.5276,46,25,57187.45,22760.6051,9.78,-0.0034,,1.1525,1276.94,TIA,,,-0.34,2026-05-31 22:11:46.810970
TIAPERP,Bybit,TIA/USDC,0.3995,0.4,-3.36,18100.13,-87.22,11302.77,6797.37,43,39,425321.26,169915.84,-12.73,0.01,1780243200000.0,9.3875,582.68,TIA,,,1.0,2026-05-31 22:11:46.810970
TIA-USDC,Lighter,TIA/USDC,0.39798,0.39978,-4.06,9203.68,-95.07,5013.22,4190.46,16,10,931151.6,372060.244812,24.91,0.0012,,40.4252,2435.77,TIA,,,0.12,2026-05-31 22:11:46.810970
TIAUSDT,Aster,TIA/USDT,0.3997,0.40020571,-3.73,3284.42,-98.1,1638.29,1646.13,20,34,79007.0,31579.0979,-5.08,0.00125,1780239600000.0,9.6148,4894.7,TIA,,,0.125,2026-05-31 22:11:46.810970
TIA-USD-PERP,Paradex,TIA/USD,0.41,0.39922258,-4.09,287.0,13.24,287.0,0.0,2,0,21069.8,8638.618,-10.07,-0.085907047606,,30.0997,-20.59,TIA,,,-8.5907,2026-05-31 22:11:46.810970
SOL_USDT,MEXC,SOL/USDT,82.66,82.71,0.25,896559971.58,-11.35,445309823.574,451250148.016,42495,40962,2983688.6,246661536.562,-9.68,0.0054,1780243200000.0,0.2751,1.89,SOL,,,0.54,2026-05-31 22:11:46.810970
SOL-PERP,Coinbase,SOL/USDC,82.598,82.592,0.25,756843465.417572,-27.25,378135489.299,378707976.108572,147929,150977,322015.668,26602680.380484,-0.57,0.0009,,0.0351,36.58,SOL,,,0.09,2026-05-31 22:11:46.810970
SOLUSDT,Binance,SOL/USDT,82.65,82.71676082,0.24,618482868.3848,-51.5,322269884.776,296212983.6288,375013,318711,9382857.57,775680835.3119,1.9,0.005383,1780243200000.0,1.2542,110.12,SOL,362739.27,724501.62,0.5383,2026-05-31 22:11:46.810970
SOL_PERP,WhiteBIT,SOL/USDT,82.6281,82.72,0.21,274870317.774991,0.4,91413621.356077,183456696.419114,23962,50253,2308966.84,190831722.289004,1.63,0.01,1780243200000.0,0.6943,1.22,SOL,,,1.0,2026-05-31 22:11:46.810970
SOL-USDT-SWAP,OKX,SOL/USDT,82.66,82.71,0.24,208728424.4529,-47.35,104790496.013,103937928.4399,49311,40058,2783085.130000003,230021985.99450025,1.0,0.00374001346711,1780243200000.0,1.102,91.85,SOL,11058.08,4094.8,0.374,2026-05-31 22:11:46.810970
SOLUSDT,Bybit,SOL/USDT,82.67,82.714,0.27,198485518.582,-62.27,100704849.154,97780669.428,91232,96611,7004287.0,579051410.58,4.3,0.01,1780243200000.0,2.9173,176.42,SOL,105033.74,127687.53,1.0,2026-05-31 22:11:46.810970
SOL_USDT,Gate,SOL/USDT,82.66,82.714,0.25,156298521.58,-48.3,77071146.83,79227374.75,32189,62184,6255784.0,517228221.12,1.09,0.0068,1780243200000.0,3.3092,95.53,SOL,44986.35,14908.97,0.68,2026-05-31 22:11:46.810970
SOL-USDT,BingX,SOL/USDT,82.668,82.716,0.26,149015814.00026,-21.04,71340120.36917,77675693.76109,135460,135181,1538335.0299,127140313.55,-20.66,0.01,1780243200000.0,0.8532,0.47,SOL,,,1.0,2026-05-31 22:11:46.810970
SOLUSDT,LBank,SOL/USDT,82.68,,0.25,100610512.88,-40.45,50391890.7202,50218622.1598,33860,33750,2658912.46,219812293.0682,-0.02,0.0055,1780243200000.0,2.1848,67.91,SOL,,,0.55,2026-05-31 22:11:46.810970
SOLUSDT_UMCBL,Bitget,SOL/USDT,82.663,82.71090009416663,0.25,100018269.5499,-60.73,49393946.9434,50624322.6065,79003,80241,4273962.3,353354107.1148,2.67,0.0094,1780243200000.0,3.5329,161.44,SOL,77319.4,47201.21,0.94,2026-05-31 22:11:46.810970
SOLUSDC,Binance,SOL/USDC,82.58,82.6202517,0.24,88683376.5658,-57.09,44367088.289,44316288.2868,94010,91880,1202896.26,99347202.1134,2.61,0.01,1780243200000.0,1.1202,139.15,SOL,10733.11,18939.07,1.0,2026-05-31 22:11:46.810970
SOLUSDT,Bitunix,SOL/USDT,82.66,82.68,0.24,88106583.4653,-48.83,46141098.2331,41965485.2422,33659,23644,1244420.72,102826484.0936,-0.97,0.005491,1780243200000.0,1.1671,93.52,SOL,,,0.5491,2026-05-31 22:11:46.810970
SOL-USD,Hyperliquid,SOL/USD,82.693,82.715,0.28,72633464.24717,-48.79,44723826.65591,27909637.61136,23442,19884,4029997.1200000006,333256581.84128004,5.54,0.00125,1780239600000.0,4.5882,106.08,SOL,30770.55,11699.43,0.125,2026-05-31 22:11:46.810970
SOLUSD,EdgeX,SOL/USD,82.67,82.691407718,0.28,27265432.202,-49.68,13824541.377,13440890.825,14339,13584,816648.3,67495981.995,0.25,0.005,1780243200000.0,2.4755,99.24,SOL,,,0.5,2026-05-31 22:11:46.810970
SOL_USDC,MEXC,SOL/USDC,82.57,82.61,0.25,26726043.539,-5.08,13643785.869,13082257.67,7965,7963,56256.0,4645620.48,7.27,0.01,1780243200000.0,0.1738,13.0,SOL,,,1.0,2026-05-31 22:11:46.810970
SOLUSDT,Aster,SOL/USDT,82.66,82.71402598,0.25,26346679.5689,-41.0,13192710.0333,13153969.5356,18000,17765,1608341.65,132961604.2055,0.27,0.01,1780243200000.0,5.0466,69.96,SOL,702.12,36527.29,1.0,2026-05-31 22:11:46.810970
PF_SOLUSD,Kraken,SOL/USDT,82.62,82.62,0.23,20364410.8807,-27.44,9676618.2001,10687792.6806,8807,9364,187813.16,15520879.5424,5.15,0.0009729526388889,1780239600000.0,0.7622,44.93,SOL,,,0.0973,2026-05-31 22:11:46.810970
SOLUSD_PERP,Binance,SOL/USD,82.58,82.60563155,0.25,17528630.0,-59.71,8908890.0,8619740.0,14577,11953,622771.86,51428500.0,-0.74,0.01,1780243200000.0,2.934,146.39,SOL,30.0,0.0,1.0,2026-05-31 22:11:46.810970
SOLUSDTM,KuCoin,SOL/USDT,82.718,82.716,0.27,16493647.0615,-79.6,8238057.8331,8255589.2284,23153,21024,5782248.2,478267095.3666,0.43,0.0099,1780243185078.0,28.997,392.29,SOL,,,0.99,2026-05-31 22:11:46.810970
SOLUSDT,CoinEx,SOL/USDT,82.75,82.72,0.29,14031526.8099,-20.91,6394802.6013,7636724.2086,6085,7199,123153.5,10188489.055,4.26,0.0,1780243176546.0,0.7261,31.8,SOL,0.0,6918.55,0.0,2026-05-31 22:11:46.810970
SOL-USD,Extended,SOL/USD,82.54,82.5981650625,0.23,8872065.3,-36.21,4945115.86,3926949.44,7698,6714,144487.82,11919910.906326,8.69,0.001,,1.3435,70.39,SOL,179.54,0.0,0.1,2026-05-31 22:11:46.810970
SOL-USDC,BingX,SOL/USDC,82.583,82.596,0.25,8038192.4199,-22.98,4032657.4669,4005534.923,65170,64965,82952.0334,6849930.06,-22.81,0.011,1780243200000.0,0.8522,0.24,SOL,,,1.1,2026-05-31 22:11:46.810970
SOLUSD-PERP,Crypto.com,SOL/USD,82.59,82.6,0.23,5619436.1324,-63.28,2898801.1285,2720635.0139,30068,28301,37962.22,3136058.9942,2.35,0.0016632,1780239600000.0,0.5581,178.77,SOL,,,0.1663,2026-05-31 22:11:46.810970
SOL-USD,BingX,SOL/USD,82.572,82.591,0.25,3912650.0,-22.01,1929360.0,1983290.0,43172,43597,39304.973,3244782.741042,-26.2,0.01,1780243200000.0,0.8293,-5.37,SOL,,,1.0,2026-05-31 22:11:46.810970
SOL-USD-SWAP,OKX,SOL/USD,82.54,82.6,0.21,3481710.0,-67.7,1789550.0,1692160.0,2293,2022,310327.9641516289,25623780.0,-0.71,0.01,1780243200000.0,7.3595,207.43,SOL,0.0,16540.0,1.0,2026-05-31 22:11:46.810970
SOL-USDT,HTX,SOL/USDT,82.789,82.712,0.24,3300712.0803,-74.52,1650639.1196,1650072.9507,2463,2029,2340896.0,193800438.944,0.25,0.0218067562166904,1780243200000.0,58.7147,293.51,SOL,251.83,416.0,2.1807,2026-05-31 22:11:46.810970
SOLUSDC,Bitunix,SOL/USDC,82.59,82.59,0.24,3272168.3383,81.84,2589898.258,682270.0903,4119,4542,46401.64,3831847.4312,222.79,0.01,1780243200000.0,1.171,77.5,SOL,,,1.0,2026-05-31 22:11:46.810970
SOL_USD,MEXC,SOL/USD,82.57,82.62,0.28,2993190.0,-4.11,1573540.0,1419650.0,4250,4245,63325.6631,5228800.0,1.47,0.01,1780243200000.0,1.7469,5.82,SOL,,,1.0,2026-05-31 22:11:46.810970
SOLUSD,Bitunix,SOL/USD,82.58,82.57,0.25,2053985.08,-37.72,1066739.11,987245.97,7978,7135,54342.37,4487049.4909,24.68,-0.01,1780243200000.0,2.1846,100.22,SOL,,,-1.0,2026-05-31 22:11:46.810970
SOLUSDT,ApeX Omni,SOL/USDT,82.63,82.704,0.22,1932369.16,32.61,683368.91,1249000.25,8590,10794,11974.799999999997,989477.7239999997,2.22,-0.00088,,0.5121,-22.91,SOL,,,-0.088,2026-05-31 22:11:46.810970
SOLPERP,Bybit,SOL/USDC,82.56,82.628,0.23,1097330.855,-37.47,571745.887,525584.968,1553,1244,145518.2,12015728.81,-0.67,0.01,1780243200000.0,10.95,58.84,SOL,25.06,0.0,1.0,2026-05-31 22:11:46.810970
SOLUSD_DMCBL,Bitget,SOL/USD,82.562,82.59662765441293,0.24,1089890.54739,-57.51,677105.47249,412785.0849,1559,338,153283.92,12656806.55832,0.13,0.01,1780243200000.0,11.6129,135.68,SOL,,,1.0,2026-05-31 22:11:46.810970
SOLUSDT,Bitmex,SOL/USDT,82.53,82.709,0.12,933299.4511,-61.0,435943.7945,497355.6466,318,323,38912.45,3218215.2648,-2.0,-0.0077,1780286400000.0,3.4482,151.33,SOL,161.07,0.0,-0.77,2026-05-31 22:11:46.810970
SOLUSD,Bybit,SOL/USD,82.56,82.6,0.29,837728.0,-61.95,497028.0,340700.0,1030,1074,141408.33,11676086.0,0.92,0.01,1780243200000.0,13.9378,165.23,SOL,0.0,3430.0,1.0,2026-05-31 22:11:46.810970
SOL-USD,dYdX,SOL/USD,82.49,,0.15,659979.538,-60.06,552518.163,107461.375,470,369,58631.6,4844676.807440168,1.29,0.0,1780239600000.0,7.3406,153.61,SOL,,,0.0,2026-05-31 22:11:46.810970
FF_SOLUSD_260925,Kraken,SOL/USDT,82.59,82.61,0.13,137269.379,1131.32,15601.159,121668.23,52,80,1527.96,126194.2164,1022.44,,,0.9193,-8.84,SOL,,,,2026-05-31 22:11:46.810970
FF_SOLUSD_260626,Kraken,SOL/USDT,82.69,82.6,0.53,128242.15,404.45,123741.11,4501.04,84,17,2332.63,192885.1747,-39.26,,,1.5041,-87.96,SOL,,,,2026-05-31 22:11:46.810970
SOL-USD-PERP,Paradex,SOL/USD,82.56,82.58788635,0.22,114067.5106,-54.61,61215.8062,52851.7045,438,456,8944.32,738443.0592,-1.53,0.009999998702,,6.4737,116.95,SOL,,,1.0,2026-05-31 22:11:46.810970
SOLUSDC,CoinEx,SOL/USDC,82.67,82.6,0.24,96087.8591,12.66,25820.2985,70267.5606,2517,6145,480.4,39714.668,53.5,0.034404,1780243176539.0,0.4133,36.27,SOL,,,3.4404,2026-05-31 22:11:46.810970
SOLUSD_260626,Binance,SOL/USD,82.49,82.60563155,0.27,74280.0,-68.11,22450.0,51830.0,298,661,20548.07,1695010.0,-0.61,,,22.8192,211.61,SOL,,,,2026-05-31 22:11:46.810970
SOLUSDT-12JUN26,Bybit,SOL/USDT,82.99,82.71,0.42,37993.9282,-64.9,37803.5196,190.4186,17,5,136.72,11306.74,-85.82,,0.0,0.2976,-59.61,SOL,,,,2026-05-31 22:11:46.810970
SOLUSD_260925,Binance,SOL/USD,82.48,82.60563155,0.23,32440.0,-83.49,19680.0,12760.0,179,119,14672.77,1210210.0,0.05,,,37.3061,506.12,SOL,,,,2026-05-31 22:11:46.810970
SOL-USDC,Lighter,SOL/USDC,82.385,82.824,-0.02,19999.7753,-99.94,5305.0118,14694.7635,2,15,239110.45,19794280.216784,6.6,0.0009,,989.7251,165738.66,SOL,0.49,0.0,0.09,2026-05-31 22:11:46.810970
SOLUSDT-19JUN26,Bybit,SOL/USDT,82.66,82.71,0.07,17789.56,168.72,8423.74,9365.82,85,96,60.5,5006.98,380.5,,0.0,0.2815,78.84,SOL,0.0,150.16,,2026-05-31 22:11:46.810970
SOLUSDCM,KuCoin,SOL/USDC,83.32,82.61,1.02,8908.7171,68.75,8141.04,767.6771,33,29,11119.26,926456.7432,-11.72,0.0201,1780243185395.0,103.9944,-47.68,SOL,,,2.01,2026-05-31 22:11:46.810970
SOLUSDM,KuCoin,SOL/USD,82.599,82.606,0.73,8402.0,-90.51,954.0,7448.0,13,22,376031.62,31059836.0,0.46,0.01,1780243185395.0,3696.7194,958.35,SOL,,,1.0,2026-05-31 22:11:46.810970
SOLUSDT-26JUN26,Bybit,SOL/USDT,82.67,82.71,0.25,3559.0092,-98.04,900.2592,2658.75,7,3,17272.78,1430704.37,0.44,,0.0,401.9951,5026.51,SOL,,,,2026-05-31 22:11:46.810970
SOLUSDT-05JUN26,Bybit,SOL/USDT,82.75,82.71,0.57,164.898,-99.81,8.298,156.6,1,4,1261.78,104437.53,0.02,,0.0,633.3463,51958.71,SOL,,,,2026-05-31 22:11:46.810970
SEIUSDT,Binance,SEI/USDT,0.06779,0.06786444,-0.09,31209488.0192,-34.13,14636308.12359,16573179.89581,164911,179772,216193656.0,14655767.94024,3.13,0.000345,1780243200000.0,0.4696,56.59,SEI,1078.56,22223.25,0.0345,2026-05-31 22:11:46.810970
SEI_USDT,MEXC,SEI/USDT,0.06779,0.06787,-0.09,18043638.6412,75.4,8602853.4683,9440785.1729,7241,7270,74406010.0,5043983.4179,4.12,0.0004,1780243200000.0,0.2795,-40.65,SEI,,,0.04,2026-05-31 22:11:46.810970
SEIUSDT,LBank,SEI/USDT,0.0678,,-0.15,12026948.4177,-6.27,5997490.30288,6029458.11492,60802,61067,3688440.0,249928.6944,-27.92,0.000345,1780243200000.0,0.0208,-22.96,SEI,,,0.0345,2026-05-31 22:11:46.810970
SEIUSDT,ApeX Omni,SEI/USDT,0.0676,0.0679,-0.15,11736257.9608,80.73,7093805.19,4642452.7708,32914,21680,1877736.0,126934.9536,-1.36,0.00125,,0.0108,-45.45,SEI,,,0.125,2026-05-31 22:11:46.810970
SEIUSDT,Bybit,SEI/USDT,0.06778,0.06789,-0.13,11189748.79952,-39.74,5449210.462,5740538.33792,85366,87488,235116447.0,15945597.44,4.39,0.01,1780243200000.0,1.425,73.23,SEI,4680.98,8796.89,1.0,2026-05-31 22:11:46.810970
SEI_PERP,WhiteBIT,SEI/USDT,0.06767,0.06788,-0.07,8315709.17287,-33.63,1300618.93217,7015090.2402,4404,55999,49711636.0,3363986.40812,1.99,-0.006382,1780243200000.0,0.4045,53.63,SEI,,,-0.6382,2026-05-31 22:11:46.810970
SEI-USDT-SWAP,OKX,SEI/USDT,0.06778,0.06784,-0.13,5870365.2802,-44.57,2868585.4201,3001779.8601,21172,21025,40009900.0,2708670.23,-3.59,0.005,1780243200000.0,0.4614,73.92,SEI,430.88,15581.34,0.5,2026-05-31 22:11:46.810970
SEIUSDT_UMCBL,Bitget,SEI/USDT,0.06781,0.0678939298964113,-0.06,4694158.96836,-28.13,2357226.55406,2336932.4145,12075,11007,121642453.0,8244925.46434,-1.39,0.01,1780243200000.0,1.7564,37.2,SEI,391.79,2506.69,1.0,2026-05-31 22:11:46.810970
SEI-USDT,BingX,SEI/USDT,0.0677,0.0678,-0.15,4285276.1386,7.56,1589337.0697,2695939.0489,129772,130263,54031175.4801,3657910.58,8.11,0.01,1780243200000.0,0.8536,0.51,SEI,,,1.0,2026-05-31 22:11:46.810970
SEI_USDT,Gate,SEI/USDT,0.06782,0.06777,-0.18,2148401.7994,96.62,1227172.9622,921228.8372,4767,4350,12320540.0,834346.9688,-4.72,0.0,1780243200000.0,0.3884,-51.53,SEI,0.0,204.72,0.0,2026-05-31 22:11:46.810970
SEI-USD,Hyperliquid,SEI/USD,0.067786,0.067885,-0.12,2125029.09135,-18.78,894685.802989,1230343.308161,3095,4059,32255822.0,2187106.01071,-20.79,-0.00056921,1780239600000.0,1.0292,-2.47,SEI,0.0,21680.73,-0.0569,2026-05-31 22:11:46.810970
SEIUSDT,Bitunix,SEI/USDT,0.06782,0.06769,-0.15,1898882.45033,-45.61,904479.86198,994402.59915,9507,12401,15843094.0,1072102.17098,-30.69,0.000633,1780243200000.0,0.5646,27.45,SEI,,,0.0633,2026-05-31 22:11:46.810970
SEIUSDTM,KuCoin,SEI/USDT,0.06782,0.06787,-0.19,1846439.0613,-67.39,912645.674,933793.3973,11062,10372,138128880.0,9369281.9304,-1.35,-0.0177,1780243140471.0,5.0742,202.5,SEI,,,-1.77,2026-05-31 22:11:46.810970
SEIUSDT,CoinEx,SEI/USDT,0.067842,0.067787,-0.14,669505.665181,-31.63,114921.825033,554583.830248,2517,6678,3695875.0,250362.268375,5.09,0.0,1780243176550.0,0.374,53.72,SEI,0.0,8.53,0.0,2026-05-31 22:11:46.810970
PF_SEIUSD,Kraken,SEI/USDT,0.0673,0.067762,-0.91,295949.131,-56.54,146297.2765,149651.8545,426,428,4801910.0,323168.543,-3.92,-0.0018382345833333,1780239600000.0,1.092,121.1,SEI,,,-0.1838,2026-05-31 22:11:46.810970
SEI-PERP,Coinbase,SEI/USDC,0.0678,0.0677,0.0,120025.1802,-4.13,58903.1699,61122.0103,345,152,630377.0,42739.5606,-4.6,0.0042,,0.3561,-0.48,SEI,,,0.42,2026-05-31 22:11:46.810970
SEI_USDC,MEXC,SEI/USDC,0.06773,0.06774,-0.16,101503.5866,22.61,49927.1477,51576.4289,3884,3977,397790.0,26898.5598,-3.55,0.0004,1780243200000.0,0.265,-21.34,SEI,,,0.04,2026-05-31 22:11:46.810970
SEI-USD,Extended,SEI/USD,0.06776,0.067779126562,0.8,22564.28,-56.91,16858.39,5705.89,56,52,2041518.0,137637.364783,4.53,0.0002,,6.0998,142.61,SEI,0.0,53.34,0.02,2026-05-31 22:11:46.810970
SEI-USDT,HTX,SEI/USDT,0.0674,0.06745878,0.06,18775.58232,-12.86,6232.6508,12542.94182,746,2002,2497518.0,168332.7132,-1.89,0.01,1780243200000.0,8.9655,12.58,SEI,16.88,0.0,1.0,2026-05-31 22:11:46.810970
SEIPERP,Bybit,SEI/USDC,0.06752,0.06777,-0.38,9644.74688,-74.62,5087.75138,4556.9856,369,361,2039842.0,137872.92,-0.65,-0.050054,1780243200000.0,14.2951,291.52,SEI,,,-5.0054,2026-05-31 22:11:46.810970
SEIUSDT,Aster,SEI/USDT,0.0674,0.06783212,-0.28,7756.2003,-94.55,3762.556,3993.6443,53,75,1369675.0,92316.095,1.62,0.01,1780243200000.0,11.9022,1765.55,SEI,,,1.0,2026-05-31 22:11:46.810970
SEIUSD-PERP,Crypto.com,SEI/USD,0.06761,0.06771,0.06,5290.7333,941.32,2799.96,2490.7833,97,232,251780.0,17022.8458,4.04,0.0080215,1780239600000.0,3.2175,-90.01,SEI,,,0.8022,2026-05-31 22:11:46.810970
SEI-USD-PERP,Paradex,SEI/USD,0.0683,0.0677507,1.34,303.55,-38.54,36.4,267.15,3,6,322552.0,22030.3016,0.67,-0.019293362804,,72.5755,63.8,SEI,,,-1.9293,2026-05-31 22:11:46.810970
SEIUSDT,Bitmex,SEI/USDT,0.0673,0.0678,-0.15,21.576,-92.68,0.0,21.576,0,2,562400.0,38130.72,-0.15,-0.0438,1780286400000.0,1767.2747,1263.73,SEI,,,-4.38,2026-05-31 22:11:46.810970
SEI-USDC,Lighter,SEI/USDC,0.06603,0.06826,0.0,0.0166,-100.0,0.0166,0.0,2,0,8492237.6,579000.759568,-9.73,-0.0037,,34879563.8294,1121637480.13,SEI,0.0,413.96,-0.37,2026-05-31 22:11:46.810970
PENGUUSDT,Binance,PENGU/USDT,0.007988,0.00799374,-0.47,25683559.710733,-60.14,11598367.152558,14085192.557775,115554,114333,2574370761.0,20566648.009629,2.85,-0.002233,1780243200000.0,0.8008,158.07,PENGU,5356.77,74190.01,-0.2233,2026-05-31 22:11:46.810970
