instrument,exchange_count,instrument_id,base_asset,quote_asset,max_leverage,funding_interval,price_tick_size
PNUT,8,PNUT-USDT,PNUT,USDT,3.0,4.0,1e-05
PNUTUSDT,8,PNUTUSDT,PNUT,USDT,25.0,1.0,0.0001
FARTCOINUSDT,8,FARTCOINUSDT,FARTCOIN,USDT,50.0,1.0,0.0001
POPCATUSDT,8,POPCATUSDT,POPCAT,USDT,25.0,1.0,0.0001
PUMPUSDT,8,PUMPUSDT,PUMP,USDT,50.0,1.0,1e-06
RENDER,8,RENDER-USDT,RENDER,USDT,5.0,4.0,0.001
RENDERUSDT,8,RENDERUSDT,RENDER,USDT,50.0,1.0,0.0001
MORPHO,8,MORPHO-USDT,MORPHO,USDT,5.0,4.0,0.0001
RESOLV,8,RESOLV-USDT,RESOLV,USDT,5.0,4.0,1e-05
SYRUP,8,SYRUP-USDT,SYRUP,USDT,3.0,4.0,1e-05
0G,8,0G-USDT,0G,USDT,3.0,4.0,0.0001
APTUSDT,8,APTUSDT,APT,USDT,50.0,1.0,0.001
ATOM,8,ATOM-USDT,ATOM,USDT,5.0,8.0,0.001
ADAUSD,8,ADAUSD_PERP,ADA,USD,20.0,8.0,0.0001
APEUSDT,8,APEUSDT,APE,USDT,50.0,8.0,0.0001
APE,8,APE-USDT,APE,USDT,5.0,8.0,0.0001
ALGO,8,ALGO-USDT,ALGO,USDT,5.0,8.0,0.0001
ARUSDT,8,ARUSDT,AR,USDT,50.0,1.0,0.001
NOT,7,NOT-USDT,NOT,USDT,3.0,4.0,1e-07
SYRUPUSDT,7,SYRUPUSDT,SYRUP,USDT,25.0,1.0,1e-05
4USDT,7,4USDT,4,USDT,25.0,1.0,1e-05
MOVE,7,MOVE-USDT,MOVE,USDT,3.0,4.0,1e-05
MOVEUSDT,7,MOVEUSDT,MOVE,USDT,75.0,1.0,1e-05
CFX,7,CFX-USDT,CFX,USDT,5.0,8.0,1e-05
TRBUSDT,7,TRBUSDT,TRB,USDT,50.0,1.0,0.001
TRB,7,TRB-USDT,TRB,USDT,3.0,4.0,0.001
BUSDT,7,BUSDT,B,USDT,20.0,4.0,0.0001
MUSDT,7,MUSDT,M,USDT,50.0,1.0,0.0001
NOTUSDT,7,NOTUSDT,NOT,USDT,50.0,1.0,1e-07
MOODENGUSDT,7,MOODENGUSDT,MOODENG,USDT,25.0,1.0,1e-05
THETAUSDT,7,THETAUSDT,THETA,USDT,75.0,1.0,0.0001
FFUSDT,7,FFUSDT,FF,USDT,50.0,1.0,1e-05
NIGHTUSDT,7,NIGHTUSDT,NIGHT,USDT,50.0,1.0,1e-05
SUSHI,7,SUSHI-USDT,SUSHI,USDT,3.0,8.0,0.0001
TNSR,7,TNSR-USDT,TNSR,USDT,3.0,4.0,1e-05
ALCHUSDT,7,ALCHUSDT,ALCH,USDT,10.0,1.0,1e-05
ALGOUSDT,7,ALGOUSDT,ALGO,USDT,75.0,1.0,0.0001
CFXUSDT,7,CFXUSDT,CFX,USDT,75.0,1.0,1e-05
BLUR,7,BLUR-USDT,BLUR,USDT,3.0,4.0,1e-05
BLURUSDT,7,BLURUSDT,BLUR,USDT,75.0,1.0,1e-05
ME,7,ME-USDT,ME,USDT,3.0,4.0,1e-05
MEGAUSDT,7,MEGAUSDT,MEGA,USDT,50.0,1.0,1e-05
MELANIA,7,MELANIA-USDT,MELANIA,USDT,3.0,4.0,0.0001
MELANIAUSDT,7,MELANIAUSDT,MELANIA,USDT,75.0,1.0,0.0001
VANAUSDT,7,VANAUSDT,VANA,USDT,50.0,1.0,0.001
MEME,7,MEME-USDT,MEME,USDT,3.0,4.0,1e-06
BOME,7,BOME-USDT,BOME,USDT,3.0,4.0,1e-07
BOMEUSDT,7,BOMEUSDT,BOME,USDT,50.0,1.0,1e-07
GALAUSDT,7,GALAUSDT,GALA,USDT,75.0,8.0,1e-05
2ZUSDT,7,2ZUSDT,2Z,USDT,50.0,1.0,1e-05
BREVUSDT,7,BREVUSDT,BREV,USDT,50.0,1.0,0.0001
FORMUSDT,7,FORMUSDT,FORM,USDT,50.0,1.0,0.0001
MON,7,MON-PERP,MON,USDC,10.0,1.0,1e-06
TURBO,7,TURBO-USDT,TURBO,USDT,3.0,4.0,1e-07
STX,7,STX-USDT,STX,USDT,5.0,8.0,0.0001
SUIUSD,7,SUIUSD_PERP,SUI,USD,20.0,8.0,0.0001
SAND,7,SAND-USDT,SAND,USDT,5.0,8.0,1e-05
PROVE,7,PROVE-USDT,PROVE,USDT,3.0,4.0,0.0001
